"title","location","max_salary","currency"
"ProductDataAnalyst","United States","157000","USD"
"SeniorDataAnalyst","San Diego, CA","140000","USD"
"SeniorDataAnalyst","Memphis, TN","130300","USD"
"SeniorDataAnalyst","United States","130000","USD"
"SeniorSupplyChainDataAnalyst","Irvine, CA","108000","USD"
"HealthcareDataAnalyst","Little Chicago, WI","106000","USD"
"DataAnalyst","Portland, ME","103000","USD"
"SeniorDataAnalyst","Indianapolis, IN","99600","USD"
"HealthcareDataAnalyst","San Diego, CA","99200","USD"
"RCMDataAnalyst","Burlington, NC","87000","USD"
"MasterDataAnalyst","Akron, OH","81979","USD"
"DataAnalyst","Omaha, NE","80000","USD"
"MSSupport/VBAAccessDataAnalyst","Honolulu, HI","80000","USD"
"DataAnalyst","Chicago, IL","75000","USD"
"BusinessDataAnalyst","United States","85","USD"
"DataAnalyst","United States","85","USD"
"DataAnalyst","United States","80","USD"
"DataAnalyst","Manhattan, NY","74","USD"
"DataAnalyst","Pittsburgh, PA","70","USD"
"DataAnalyst","Fort Worth, TX","65","USD"
"DataAnalyst","Irving, TX","62","USD"
"DataAnalyst","McLean, VA","60","USD"
"DataAnalyst","Oklahoma City, OK","38","USD"
"DataAnalyst","Oklahoma City, OK","35","USD"
"DataAnalyst","Beaverton, OR","24","USD"
